2021-09-28 00:14:11.989 +06:00 [INF] Application Starting up
2021-09-28 00:14:13.865 +06:00 [INF] no file to delete
2021-09-28 00:14:13.868 +06:00 [INF] Worker running at: "2021-09-28T00:14:13.8678187+06:00"
2021-09-28 00:14:33.882 +06:00 [INF] no file to delete
2021-09-28 00:14:33.882 +06:00 [INF] Worker running at: "2021-09-28T00:14:33.8821172+06:00"
2021-09-28 00:14:53.894 +06:00 [INF] no file to delete
2021-09-28 00:14:53.894 +06:00 [INF] Worker running at: "2021-09-28T00:14:53.8944015+06:00"
2021-09-28 00:15:13.933 +06:00 [INF] no file to delete
2021-09-28 00:15:13.933 +06:00 [INF] Worker running at: "2021-09-28T00:15:13.9332899+06:00"
2021-09-28 00:15:33.946 +06:00 [INF] no file to delete
2021-09-28 00:15:33.947 +06:00 [INF] Worker running at: "2021-09-28T00:15:33.9472513+06:00"
2021-09-28 00:15:53.946 +06:00 [INF] no file to delete
2021-09-28 00:15:53.946 +06:00 [INF] Worker running at: "2021-09-28T00:15:53.9469113+06:00"
2021-09-28 00:16:13.950 +06:00 [INF] no file to delete
2021-09-28 00:16:13.952 +06:00 [INF] Worker running at: "2021-09-28T00:16:13.9520455+06:00"
2021-09-28 00:16:33.966 +06:00 [INF] no file to delete
2021-09-28 00:16:33.966 +06:00 [INF] Worker running at: "2021-09-28T00:16:33.9668526+06:00"
2021-09-28 00:16:53.974 +06:00 [INF] no file to delete
2021-09-28 00:16:53.974 +06:00 [INF] Worker running at: "2021-09-28T00:16:53.9741851+06:00"
2021-09-28 00:17:13.990 +06:00 [INF] no file to delete
2021-09-28 00:17:13.990 +06:00 [INF] Worker running at: "2021-09-28T00:17:13.9901857+06:00"
2021-09-28 00:17:33.998 +06:00 [INF] no file to delete
2021-09-28 00:17:33.998 +06:00 [INF] Worker running at: "2021-09-28T00:17:33.9988474+06:00"
2021-09-28 00:17:54.006 +06:00 [INF] no file to delete
2021-09-28 00:17:54.006 +06:00 [INF] Worker running at: "2021-09-28T00:17:54.0067738+06:00"
2021-09-28 00:18:14.025 +06:00 [INF] no file to delete
2021-09-28 00:18:14.025 +06:00 [INF] Worker running at: "2021-09-28T00:18:14.0255338+06:00"
2021-09-28 00:18:34.035 +06:00 [INF] no file to delete
2021-09-28 00:18:34.036 +06:00 [INF] Worker running at: "2021-09-28T00:18:34.0360454+06:00"
2021-09-28 00:18:54.053 +06:00 [INF] no file to delete
2021-09-28 00:18:54.053 +06:00 [INF] Worker running at: "2021-09-28T00:18:54.0534709+06:00"
2021-09-28 00:19:14.059 +06:00 [INF] no file to delete
2021-09-28 00:19:14.059 +06:00 [INF] Worker running at: "2021-09-28T00:19:14.0599305+06:00"
2021-09-28 00:19:34.074 +06:00 [INF] no file to delete
2021-09-28 00:19:34.074 +06:00 [INF] Worker running at: "2021-09-28T00:19:34.0742571+06:00"
2021-09-28 00:19:54.311 +06:00 [INF] Deleted 
2021-09-28 00:19:54.311 +06:00 [INF] Worker running at: "2021-09-28T00:19:54.3111986+06:00"
2021-09-28 00:20:14.327 +06:00 [INF] no file to delete
2021-09-28 00:20:14.329 +06:00 [INF] Worker running at: "2021-09-28T00:20:14.3278314+06:00"
2021-09-28 00:20:34.345 +06:00 [INF] no file to delete
2021-09-28 00:20:34.345 +06:00 [INF] Worker running at: "2021-09-28T00:20:34.3452537+06:00"
2021-09-28 00:20:54.366 +06:00 [INF] no file to delete
2021-09-28 00:20:54.366 +06:00 [INF] Worker running at: "2021-09-28T00:20:54.3666890+06:00"
2021-09-28 00:21:14.379 +06:00 [INF] no file to delete
2021-09-28 00:21:14.380 +06:00 [INF] Worker running at: "2021-09-28T00:21:14.3806555+06:00"
2021-09-28 00:21:34.396 +06:00 [INF] no file to delete
2021-09-28 00:21:34.396 +06:00 [INF] Worker running at: "2021-09-28T00:21:34.3969686+06:00"
2021-09-28 00:21:54.402 +06:00 [INF] no file to delete
2021-09-28 00:21:54.402 +06:00 [INF] Worker running at: "2021-09-28T00:21:54.4026698+06:00"
2021-09-28 00:22:14.413 +06:00 [INF] no file to delete
2021-09-28 00:22:14.413 +06:00 [INF] Worker running at: "2021-09-28T00:22:14.4139606+06:00"
2021-09-28 00:22:34.419 +06:00 [INF] no file to delete
2021-09-28 00:22:34.419 +06:00 [INF] Worker running at: "2021-09-28T00:22:34.4191290+06:00"
2021-09-28 00:22:57.820 +06:00 [INF] no file to delete
2021-09-28 00:22:57.820 +06:00 [INF] Worker running at: "2021-09-28T00:22:57.8203576+06:00"
2021-09-28 00:24:10.623 +06:00 [INF] Application Starting up
2021-09-28 00:24:12.133 +06:00 [INF] no file to delete
2021-09-28 00:24:12.134 +06:00 [INF] Worker running at: "2021-09-28T00:24:12.1343930+06:00"
2021-09-28 00:24:32.159 +06:00 [INF] no file to delete
2021-09-28 00:24:32.159 +06:00 [INF] Worker running at: "2021-09-28T00:24:32.1595548+06:00"
2021-09-28 00:24:52.181 +06:00 [INF] no file to delete
2021-09-28 00:24:52.181 +06:00 [INF] Worker running at: "2021-09-28T00:24:52.1818561+06:00"
2021-09-28 00:25:12.185 +06:00 [INF] no file to delete
2021-09-28 00:25:12.185 +06:00 [INF] Worker running at: "2021-09-28T00:25:12.1854756+06:00"
2021-09-28 00:25:33.331 +06:00 [INF] no file to delete
2021-09-28 00:25:33.331 +06:00 [INF] Worker running at: "2021-09-28T00:25:33.3316077+06:00"
2021-09-28 00:25:54.080 +06:00 [INF] no file to delete
2021-09-28 00:25:54.080 +06:00 [INF] Worker running at: "2021-09-28T00:25:54.0805741+06:00"
2021-09-28 00:26:15.147 +06:00 [INF] no file to delete
2021-09-28 00:26:15.147 +06:00 [INF] Worker running at: "2021-09-28T00:26:15.1473644+06:00"
2021-09-28 00:34:22.811 +06:00 [INF] Application Starting up
2021-09-28 00:34:24.417 +06:00 [INF] no file to delete
2021-09-28 00:34:24.418 +06:00 [INF] Worker running at: "2021-09-28T00:34:24.4181247+06:00"
2021-09-28 00:34:44.440 +06:00 [INF] no file to delete
2021-09-28 00:34:44.441 +06:00 [INF] Worker running at: "2021-09-28T00:34:44.4409998+06:00"
2021-09-28 00:35:04.450 +06:00 [INF] no file to delete
2021-09-28 00:35:04.450 +06:00 [INF] Worker running at: "2021-09-28T00:35:04.4505363+06:00"
2021-09-28 00:35:24.453 +06:00 [INF] no file to delete
2021-09-28 00:35:24.453 +06:00 [INF] Worker running at: "2021-09-28T00:35:24.4538290+06:00"
2021-09-28 00:35:44.474 +06:00 [INF] no file to delete
2021-09-28 00:35:44.474 +06:00 [INF] Worker running at: "2021-09-28T00:35:44.4742995+06:00"
2021-09-28 00:36:04.475 +06:00 [INF] no file to delete
2021-09-28 00:36:04.475 +06:00 [INF] Worker running at: "2021-09-28T00:36:04.4754942+06:00"
2021-09-28 00:36:24.486 +06:00 [INF] no file to delete
2021-09-28 00:36:24.486 +06:00 [INF] Worker running at: "2021-09-28T00:36:24.4867001+06:00"
2021-09-28 00:36:44.496 +06:00 [INF] no file to delete
2021-09-28 00:36:44.496 +06:00 [INF] Worker running at: "2021-09-28T00:36:44.4967272+06:00"
2021-09-28 00:37:04.499 +06:00 [INF] no file to delete
2021-09-28 00:37:04.499 +06:00 [INF] Worker running at: "2021-09-28T00:37:04.4993166+06:00"
2021-09-28 00:37:24.503 +06:00 [INF] no file to delete
2021-09-28 00:37:24.503 +06:00 [INF] Worker running at: "2021-09-28T00:37:24.5034214+06:00"
2021-09-28 00:37:44.517 +06:00 [INF] no file to delete
2021-09-28 00:37:44.517 +06:00 [INF] Worker running at: "2021-09-28T00:37:44.5174885+06:00"
2021-09-28 00:38:04.531 +06:00 [INF] no file to delete
2021-09-28 00:38:04.531 +06:00 [INF] Worker running at: "2021-09-28T00:38:04.5316868+06:00"
2021-09-28 00:38:24.543 +06:00 [INF] no file to delete
2021-09-28 00:38:24.543 +06:00 [INF] Worker running at: "2021-09-28T00:38:24.5438019+06:00"
2021-09-28 00:38:44.550 +06:00 [INF] no file to delete
2021-09-28 00:38:44.550 +06:00 [INF] Worker running at: "2021-09-28T00:38:44.5505095+06:00"
2021-09-28 00:39:04.553 +06:00 [INF] no file to delete
